project_id,source_document,level_1_number,level_1_title,level_2_number,level_2_title,level_3_number,level_3_title,section_number,section_title,hierarchy_path,requirement_id,trigger_keyword,requirement_text
starting-test-set,Strata Base IDIQ PWS.docx,1,Purpose,,,,,1,Purpose,1,1-001,required,"This PWS for Strata describes the technical expertise, support, and services required to develop, implement, sustain, and modernize mission essential National Geospatial-Intelligence Agency (NGA) capabilities developed and sustained by the NGA GeoCapabilities Division for two functional areas: Discovery and Dissemination of Geospatial Content and Geospatial Visualization."
starting-test-set,Strata Base IDIQ PWS.docx,1,Purpose,,,,,1,Purpose,1,1-002,required,This base IDIQ establishes the acquisition framework for delivering the full scope of information technology (IT) capabilities required for each task order issued under this contract.
starting-test-set,Strata Base IDIQ PWS.docx,1,Purpose,,,,,1,Purpose,1,1-003,required,"The primary purpose of the contract is to obtain the required expertise to continue to provide user-facing services that facilitate access to Geospatial Intelligence (GEOINT) data and products in an on-line, on-demand, and geospatially relevant environment to the Intelligence Community (IC), Department of Defense (DoD), and other Federal Government Agencies across the entire National System for Geospatial Intelligence (NSG) and Allied System for Geospatial Intelligence (ASG)."
starting-test-set,Strata Base IDIQ PWS.docx,1,Purpose,,,,,1,Purpose,1,1-004,required,"This contract is designed to provide flexibility in satisfying existing and emerging IT requirements required to work within NGA IT infrastructure, complement and support other NGA efforts, and adapt to new and emerging requirements as missions evolve and leading-edge technologies become available."
starting-test-set,Strata Base IDIQ PWS.docx,3,Scope,,,,,3,Scope,3,3-001,required,"Provide the technical expertise required to design, develop, maintain, operate, sustain, implement, and improve current and future services and capabilities developed and sustained by the GeoCapabilities Division."
starting-test-set,Strata Base IDIQ PWS.docx,3,Scope,,,,,3,Scope,3,3-002,must,"The Contractor must continuously operate, enhance, update, maintain, and sustain current operational capabilities."
starting-test-set,Strata Base IDIQ PWS.docx,4,Performance Objectives,,,,,4,Performance Objectives,4,4-001,must,The following sections describe the services that must be provided in support of this contract.
starting-test-set,Strata Base IDIQ PWS.docx,4,Performance Objectives,4.1,Operational Baseline Management and Sustainment,,,4.1,Operational Baseline Management and Sustainment,4.1,4.1-001,must,"Elements of operational baseline management and sustainment must include, but may not be limited to (items are not listed in priority order): - **(U)"
starting-test-set,Strata Base IDIQ PWS.docx,4,Performance Objectives,4.1,Operational Baseline Management and Sustainment,,,4.1,Operational Baseline Management and Sustainment,4.1,4.1-002,required,"Operational Support Tasks:** Tasks required to support operational hardware and software and ensure the operational capabilities are running securely, efficiently and effectively (i.e., system health monitoring, ticket resolution, content/data dissemination, rapid content exposure for crisis response, chat room monitoring and response) - **(U)"
starting-test-set,Strata Base IDIQ PWS.docx,4,Performance Objectives,4.2,Integration and Visualization,,,4.2,Integration and Visualization,4.2,4.2-001,required,"Implementation of integrated capabilities in required operational domains utilizing new hardware or software (e.g., COTS, Open Source Software (OSS), and Government off-the-shelf (GOTS)). 2."
